t,S,I,R
8.28835025931244,685,176,139
8.29529734961971,684,177,139
8.311509423190497,684,176,140
8.31851583986648,683,177,140
8.319867560802143,682,178,140
8.328712554113126,681,179,140
8.334939490622146,681,178,141
8.339656415833765,681,177,142
8.341811622647814,680,178,142
8.342184980814869,679,179,142
8.347432135784048,678,180,142
8.355907590251233,677,181,142
8.382181072348493,677,180,143
8.383510526821365,676,181,143
8.397523401439571,676,180,144
8.400028589150939,675,181,144
8.4001693245109,674,182,144
8.401380641607654,674,181,145
8.402617724803205,673,182,145
8.404455570361922,673,181,146
8.407136434200607,673,180,147
8.4088508966179,673,179,148
8.410847444487077,672,180,148
8.412965706115799,672,179,149
8.414678654187218,671,180,149
8.418513397401199,670,181,149
8.426676538644895,670,180,150
8.4275289754847,669,181,150
8.432541386092327,668,182,150
8.439556795322858,668,181,151
8.471794394461373,668,180,152
8.47293387359037,667,181,152
8.49210828654477,666,182,152
8.492346075703242,666,181,153
8.49900623775569,665,182,153
8.511833967160486,664,183,153
8.513931342875116,664,182,154
8.514772842459463,664,181,155
8.518890744216716,664,180,156
8.531645060630263,663,181,156
8.536772446706388,663,180,157
8.537228467047095,662,181,157
8.540302095583096,662,180,158
8.544344259504278,662,179,159
8.549266154101574,661,180,159
8.572489645903678,661,179,160
8.572628968266379,660,180,160
8.57285212030039,660,179,161
8.573477993199866,660,178,162
8.576363713696395,659,179,162
8.578522657408683,659,178,163
8.589468934833581,658,179,163
8.590164177976504,658,178,164
8.595899213323188,657,179,164
8.62214454384626,656,180,164
8.622819169878758,656,179,165
8.646355599696061,656,178,166
8.678649309029153,655,179,166
8.685000069896137,654,180,166
8.689666115873312,653,181,166
8.691815330607188,653,180,167
8.694170651399677,652,181,167
8.70080837056827,651,182,167
8.700922653840621,651,181,168
8.712323956369103,651,180,169
8.71429596736265,651,179,170
8.721231272543358,651,178,171
8.724865934622553,651,177,172
8.731176334902427,651,176,173
8.743924900771228,651,175,174
8.745363145945007,650,176,174
8.745846642313428,650,175,175
8.753676377051729,649,176,175
8.77310900202793,649,175,176
8.773585435847886,649,174,177
8.793315559812903,649,173,178
8.81788950372508,648,174,178
8.821409384768971,647,175,178
8.827278860352912,647,174,179
8.849359362883625,646,175,179
8.850310621592172,645,176,179
8.853363289737002,644,177,179
8.861355085210525,644,176,180
8.875221063151926,644,175,181
8.881567530527068,643,176,181
8.885689498832804,642,177,181
8.886993870424323,641,178,181
8.888099092195791,641,177,182
8.905168203488156,641,176,183
8.924064851793174,640,177,183
8.931131128580681,639,178,183
8.945131748927286,638,179,183
8.952028264001486,638,178,184
8.952553452848619,638,177,185
8.95621526875588,637,178,185
8.956593458150063,637,177,186
8.96033787885108,637,176,187
8.9709285263118,637,175,188
8.976928497453368,637,174,189
8.983040515259543,637,173,190
8.995142103705092,636,174,190
9.004156855280401,636,173,191
9.016377999124423,636,172,192
9.01925597733977,635,173,192
9.02042069983555,635,172,193
9.02642731665251,634,173,193
9.030024058602955,633,174,193
9.042333616650042,633,173,194
9.043893977243451,632,174,194
9.072579315202526,631,175,194
9.07805092399596,630,176,194
9.07983898185375,629,177,194
9.08461007924553,629,176,195
9.084685881317768,628,177,195
9.090662914427712,628,176,196
9.098929024456158,627,177,196
9.109275106566303,626,178,196
9.110759514110171,625,179,196
